segundo,wl04,wl05,wl06
0,13.213,22.286,18.966
1,13.109,22.485,19.146
2,13.168,22.483,18.925
3,13.168,22.529,18.836
4,13.283,22.555,19.17
5,13.138,22.458,19.213
6,13.096,22.353,18.975
7,13.139,22.603,19.055
8,13.217,22.462,18.735
9,13.229,22.397,19.064
10,13.21,22.376,19.315
11,13.252,22.269,19.054
12,13.165,22.513,18.975
13,13.227,22.164,18.915
14,13.249,22.65,19.229
15,13.256,22.186,19.112
16,13.288,22.401,19.134
17,13.311,22.408,19.189
18,13.239,22.359,19.046
19,13.211,22.268,19.039
20,13.247,22.358,19.367
21,13.252,22.286,19.352
22,13.267,22.321,19.042
23,13.181,22.168,18.976
24,13.162,21.976,19.032
25,13.166,22.582,19.047
26,13.139,22.123,18.882
27,13.179,22.092,18.921
28,13.155,22.33,19.211
29,13.053,22.481,19.217
30,13.133,22.294,18.484
31,13.122,22.402,18.315
32,13.213,22.497,18.257
33,13.078,22.341,18.577
34,13.301,22.285,18.466
35,13.06,22.178,18.613
36,13.17,22.221,18.279
37,13.095,22.433,18.475
38,13.091,22.562,18.961
39,13.165,22.303,19.931
40,13.066,22.644,20.183
41,13.21,22.437,18.315
42,13.102,22.482,17.662
43,13.217,22.451,17.297
44,13.145,22.619,19.554
45,13.184,22.509,20.172
46,13.19,22.416,20.297
47,13.139,22.126,21.516
48,13.159,22.622,20.771
49,13.128,22.326,19.639
50,13.219,22.355,19.189
51,13.152,22.364,19.238
52,13.156,22.523,19.354
53,13.168,22.444,19.041
54,13.165,22.49,19.381
55,13.15,22.436,18.93
56,13.124,22.409,19.507
57,13.059,22.361,19.372
58,13.21,22.275,19.503
59,13.088,22.343,19.248
60,13.201,22.59,19.147
61,13.132,22.508,18.876
62,13.144,22.376,19.375
63,13.186,22.569,19.144
64,13.234,21.721,19.379
65,13.172,21.257,19.001
66,13.244,21.611,19.235
67,13.229,22.341,18.873
68,13.274,22.239,19.293
69,13.237,22.534,19.159
70,13.243,22.392,19.336
71,13.285,22.563,19.247
72,13.297,22.4,18.993
73,13.271,22.653,19.149
74,13.264,22.195,18.485
75,13.327,22.322,18.452
76,13.251,22.578,19.063
77,13.252,22.225,18.808
78,13.231,22.584,19.091
79,13.242,22.28,19.168
80,13.257,22.502,19.3
81,13.097,22.519,19.443
82,13.237,22.272,19.204
83,13.029,22.272,19.441
84,13.164,22.466,19.245
85,13.171,22.413,19.548
86,13.096,22.493,19.471
87,13.216,22.331,19.471
88,13.172,22.411,18.74
89,13.166,22.359,19.571
90,13.14,22.385,19.068
91,13.124,22.37,19.117
92,13.216,22.393,18.866
93,13.229,22.181,19.175
94,13.06,22.657,19.505
95,13.068,22.413,18.927
96,13.021,22.247,19.386
97,13.231,22.182,19.266
98,13.142,22.326,19.347
99,13.252,22.403,19.096
100,13.181,22.357,18.991
101,13.153,22.475,19.444
102,13.185,22.321,19.026
103,13.136,22.237,19.617
104,13.236,22.482,19.173
105,13.163,22.361,19.309
106,13.286,22.277,19.216
107,13.153,22.42,19.128
108,13.18,22.425,19.12
109,13.189,22.47,19.294
110,13.121,22.275,19.515
111,13.081,22.365,19.012
112,13.097,22.448,19.743
113,13.22,22.166,19.313
114,13.2,22.284,19.148
115,13.247,22.287,19.296
116,13.199,22.406,19.304
117,13.247,22.393,19.455
118,13.308,22.637,19.627
119,13.23,22.338,19.714
120,13.176,22.362,19.001
121,13.236,22.503,19.4
122,13.224,22.662,19.299
123,13.255,22.422,19.103
124,13.287,22.52,19.893
125,13.243,22.506,19.465
126,13.237,22.296,19.16
127,13.23,22.279,19.419
128,13.248,22.615,19.377
129,13.228,22.347,19.302
130,13.183,22.574,19.259
131,13.224,22.502,19.522
132,13.156,22.458,18.904
133,13.124,22.282,19.504
134,13.108,22.33,19.387
135,13.217,22.297,19.284
136,13.121,22.286,19.162
137,13.21,22.129,19.229
138,13.066,22.238,18.964
139,13.121,22.283,18.964
