indice,fase,repeat,sample,regression
0,replay,33.70,33.70,33.70
1,replay,32.65,32.65,32.65
2,replay,30.40,30.40,30.40
3,replay,30.95,30.95,30.95
4,replay,31.60,31.60,31.60
5,replay,27.45,27.45,27.45
6,replay,29.00,29.00,29.00
7,replay,26.45,26.45,26.45
8,replay,23.35,23.35,23.35
9,replay,28.90,28.90,28.90
10,replay,30.65,30.65,30.65
11,replay,37.45,37.45,37.45
12,replay,43.25,43.25,43.25
13,replay,44.65,44.65,44.65
14,replay,42.55,42.55,42.55
15,replay,45.60,45.60,45.60
16,replay,41.05,41.05,41.05
17,replay,43.05,43.05,43.05
18,replay,40.80,40.80,40.80
19,replay,38.10,38.10,38.10
20,replay,39.10,39.10,39.10
21,replay,40.10,40.10,40.10
22,replay,38.35,38.35,38.35
23,replay,27.10,27.10,27.10
24,replay,24.85,24.85,24.85
25,replay,25.65,25.65,25.65
26,replay,24.55,24.55,24.55
27,replay,23.20,23.20,23.20
28,replay,24.30,24.30,24.30
29,replay,22.60,22.60,22.60
30,replay,23.50,23.50,23.50
31,replay,25.15,25.15,25.15
32,replay,23.95,23.95,23.95
33,replay,24.00,24.00,24.00
34,replay,24.30,24.30,24.30
35,replay,24.95,24.95,24.95
36,replay,23.15,23.15,23.15
37,replay,24.80,24.80,24.80
38,replay,21.50,21.50,21.50
39,replay,20.70,20.70,20.70
40,replay,22.90,22.90,22.90
41,replay,27.05,27.05,27.05
42,replay,25.25,25.25,25.25
43,replay,33.85,33.85,33.85
44,replay,43.45,43.45,43.45
45,replay,41.60,41.60,41.60
46,replay,39.40,39.40,39.40
47,replay,41.40,41.40,41.40
48,replay,36.95,36.95,36.95
49,replay,39.10,39.10,39.10
50,replay,40.55,40.55,40.55
51,replay,38.80,38.80,38.80
52,replay,43.40,43.40,43.40
53,replay,41.90,41.90,41.90
54,replay,40.50,40.50,40.50
55,replay,28.85,28.85,28.85
56,replay,22.20,22.20,22.20
57,replay,24.70,24.70,24.70
58,replay,23.30,23.30,23.30
59,replay,24.15,24.15,24.15
60,replay,30.75,30.75,30.75
61,replay,26.40,26.40,26.40
62,replay,23.00,23.00,23.00
63,replay,23.55,23.55,23.55
64,replay,21.80,21.80,21.80
65,replay,27.20,27.20,27.20
66,replay,35.45,35.45,35.45
67,replay,36.45,36.45,36.45
